Produto;Descricao;QtdEntrada;QtdSaída;VlCompras;VlCusto;Faturamento;Fatura-Compra;Fatura-Custo
          ;LOJA                          ;     0,00;    35,000;        0,00;       297,39;       501,15;       501,15;       203,76
Classif:      ;sem categoria       ;     0,00;    35,000;        0,00;       297,39;       501,15;       501,15;       203,76
10.019.014;BIJUTERIAS/ACESS FRIO         ;     0,00;    18,000;        0,00;         0,00;       555,83;       555,83;       555,83
10.019.015;BIJUTERIAS/BIJUTERIAS         ;     0,00;   101,000;        0,00;        94,99;     2.071,77;     2.071,77;     1.976,78
10.019.020;BIJUTERIAS/MAQUIAGEM          ;     0,00;    74,000;        0,00;        53,34;       476,50;       476,50;       423,16
Classif:10.019;BIJUTERIAS          ;     0,00;   193,000;        0,00;       148,33;     3.104,10;     3.104,10;     2.955,77
10.020.022;BRINQUEDOS/BRINQUEDO          ;     0,00;   123,000;        0,00;     1.924,34;     3.634,47;     3.634,47;     1.710,13
10.020.023;BRINQUEDOS/FANTASIA PERSONAGEM;     0,00;     1,000;        0,00;        11,52;        21,99;        21,99;        10,47
Classif:10.020;BRINQUEDOS          ;     0,00;   124,000;        0,00;     1.935,86;     3.656,46;     3.656,46;     1.720,60
10.022.   ;CAMA MESA BANHO               ;     0,00;     3,000;        0,00;         0,00;       209,97;       209,97;       209,97
10.022.026;CAMA MESA BANHO/CAMA MESA BANH;     0,00;   238,600;        0,00;     2.709,46;     5.584,81;     5.584,81;     2.875,35
Classif:10.022;CAMA MESA BANHO     ;     0,00;   241,600;        0,00;     2.709,46;     5.794,78;     5.794,78;     3.085,32
10.023.   ;CONVENIENCIA                  ;     0,00;     2,000;        0,00;        20,00;        31,98;        31,98;        11,98
10.023.027;CONVENIENCIA/ALIMENTOS        ;    29,00;    19,000;    5.453,32;       176,97;        95,31;    -5.358,01;       -81,66
10.023.028;CONVENIENCIA/BEBIDAS          ;     0,00;    36,000;        0,00;        64,11;       107,64;       107,64;        43,53
10.023.029;CONVENIENCIA/BOMBONIERE       ;   108,00;   215,000;    3.136,89;     1.056,40;       516,47;    -2.620,42;      -539,93
10.023.030;CONVENIENCIA/ELETRONICOS      ;     0,00;    50,000;        0,00;       146,20;       550,50;       550,50;       404,30
10.023.031;CONVENIENCIA/PRESENTES        ;     0,00;    79,000;        0,00;       126,25;       406,42;       406,42;       280,17
Classif:10.023;CONVENIENCIA        ;   137,00;   401,000;    8.590,21;     1.589,93;     1.708,32;    -6.881,89;       118,39
10.024.   ;DECORACAO                     ;     0,00;     1,000;        0,00;        34,99;        74,99;        74,99;        40,00
10.024.032;DECORACAO/BAZAR               ;     0,00;     7,000;        0,00;       531,00;     1.081,94;     1.081,94;       550,94
10.024.033;DECORACAO/DECORACAO           ;     0,00;    24,000;        0,00;       646,96;     1.090,19;     1.090,19;       443,23
10.024.034;DECORACAO/ESPELHO             ;     0,00;    14,000;        0,00;       738,84;     1.373,45;     1.373,45;       634,61
10.024.035;DECORACAO/MOVEIS              ;     0,00;     2,000;        0,00;       118,00;       213,98;       213,98;        95,98
10.024.036;DECORACAO/PORTA RETRATO       ;     0,00;     7,000;        0,00;        40,94;        87,43;        87,43;        46,49
10.024.037;DECORACAO/QUADROS             ;     0,00;    20,000;        0,00;       121,83;       262,30;       262,30;       140,47
10.024.038;DECORACAO/TOALHA P/ METRO     ;     0,00;     3,500;        0,00;         1,89;        64,46;        64,46;        62,57
Classif:10.024;DECORACAO           ;     0,00;    78,500;        0,00;     2.234,45;     4.248,74;     4.248,74;     2.014,29
10.033.   ;LEDS                          ;     0,00;     2,000;        0,00;         6,20;        15,98;        15,98;         9,78
10.033.050;LEDS/FERRAMENTA               ;     0,00;    16,000;        0,00;       122,09;       236,99;       236,99;       114,90
10.033.051;LEDS/ILUMINACAO               ;     0,00;    23,000;        0,00;       180,58;       397,27;       397,27;       216,69
10.033.052;LEDS/LED                      ;     0,00;    44,000;        0,00;       505,28;     1.273,56;     1.273,56;       768,28
Classif:10.033;LEDS                ;     0,00;    85,000;        0,00;       814,15;     1.923,80;     1.923,80;     1.109,65
10.040.   ;PAPELARIA                     ;     0,00;     3,000;        0,00;         8,86;        20,47;        20,47;        11,61
10.040.055;PAPELARIA/ARMARINHOS          ;     0,00;     1,000;        0,00;         8,31;        14,99;        14,99;         6,68
10.040.057;PAPELARIA/PAPELARIA           ;     0,00;   759,000;        0,00;     2.144,44;     4.982,16;     4.982,16;     2.837,72
Classif:10.040;PAPELARIA           ;     0,00;   763,000;        0,00;     2.161,61;     5.017,62;     5.017,62;     2.856,01
10.049.   ;UTENSILIOS                    ;     0,00;     3,000;        0,00;         6,60;        71,97;        71,97;        65,37
10.049.061;UTENSILIOS/ARAMADOS           ;     0,00;     2,000;        0,00;        17,32;        31,98;        31,98;        14,66
10.049.062;UTENSILIOS/COZINHA            ;     0,00;    69,000;        0,00;     1.206,66;     1.963,81;     1.963,81;       757,15
10.049.063;UTENSILIOS/UTENSILIOS         ;     0,00;   251,000;        0,00;     1.558,08;     3.061,07;     3.061,07;     1.502,99
Classif:10.049;UTENSILIOS          ;     0,00;   325,000;        0,00;     2.788,66;     5.128,83;     5.128,83;     2.340,17
10.050.064;UTILIDADES/ACESSORIO DE BANHEI;     0,00;    31,000;        0,00;       274,77;       527,69;       527,69;       252,92
10.050.067;UTILIDADES/LIXEIRA            ;     0,00;    17,000;        0,00;       222,21;       378,83;       378,83;       156,62
10.050.068;UTILIDADES/UTILIDADES         ;     0,00;   288,000;        0,00;     2.033,79;     3.778,93;     3.778,93;     1.745,14
Classif:10.050;UTILIDADES          ;     0,00;   336,000;        0,00;     2.530,77;     4.685,45;     4.685,45;     2.154,68
10.051.   ;VARIEDADES                    ;     0,00;     1,000;        0,00;         0,00;        28,99;        28,99;        28,99
10.051.069;VARIEDADES/CESTO E BALDE
    ;     0,00;    26,000;        0,00;       223,08;       409,24;       409,24;       186,16
10.051.070;VARIEDADES/VIDROS             ;     0,00;   173,000;        0,00;     1.682,37;     2.771,07;     2.771,07;     1.088,70
Classif:10.051;VARIEDADES          ;     0,00;   200,000;        0,00;     1.905,45;     3.209,30;     3.209,30;     1.303,85
10.053.001;PET/PET                       ;     0,00;     7,000;        0,00;        43,64;        82,93;        82,93;        39,29
Classif:10.053;PET                 ;     0,00;     7,000;        0,00;        43,64;        82,93;        82,93;        39,29
