Produto;Descricao;QtdEntrada;QtdSaída;VlCompras;VlCusto;Faturamento;Fatura-Compra;Fatura-Custo
          ;LOJA                          ;     0,00;    27,000;        0,00;        96,72;       145,73;       145,73;        49,01
Classif:      ;sem categoria       ;     0,00;    27,000;        0,00;        96,72;       145,73;       145,73;        49,01
10.019.014;BIJUTERIAS/ACESS FRIO         ;     0,00;    10,000;        0,00;         6,78;       194,68;       194,68;       187,90
10.019.015;BIJUTERIAS/BIJUTERIAS         ;     0,00;    83,000;        0,00;        31,38;     1.656,83;     1.656,83;     1.625,45
10.019.018;BIJUTERIAS/FANTASIA           ;     0,00;     1,000;        0,00;        12,91;        29,99;        29,99;        17,08
10.019.020;BIJUTERIAS/MAQUIAGEM          ;     0,00;    65,000;        0,00;        36,90;       546,39;       546,39;       509,49
Classif:10.019;BIJUTERIAS          ;     0,00;   159,000;        0,00;        87,97;     2.427,89;     2.427,89;     2.339,92
10.020.022;BRINQUEDOS/BRINQUEDO          ;     0,00;   121,000;        0,00;     2.138,53;     4.065,24;     4.065,24;     1.926,71
10.020.024;BRINQUEDOS/INFANTIL           ;     0,00;     2,000;        0,00;        23,50;        56,98;        56,98;        33,48
10.020.025;BRINQUEDOS/LAZER CAMPING      ;     0,00;     2,000;        0,00;        61,17;       115,98;       115,98;        54,81
Classif:10.020;BRINQUEDOS          ;     0,00;   125,000;        0,00;     2.223,20;     4.238,20;     4.238,20;     2.015,00
10.022.   ;CAMA MESA BANHO               ;     0,00;     1,000;        0,00;         0,00;        69,99;        69,99;        69,99
10.022.026;CAMA MESA BANHO/CAMA MESA BANH;     0,00;   174,300;        0,00;     2.346,51;     4.411,05;     4.411,05;     2.064,54
Classif:10.022;CAMA MESA BANHO     ;     0,00;   175,300;        0,00;     2.346,51;     4.481,04;     4.481,04;     2.134,53
10.023.027;CONVENIENCIA/ALIMENTOS        ;   264,00;    26,000;    4.117,91;        60,13;       142,84;    -3.975,07;        82,71
10.023.028;CONVENIENCIA/BEBIDAS          ;    27,00;    35,000;       70,74;        69,73;       125,13;        54,39;        55,40
10.023.029;CONVENIENCIA/BOMBONIERE       ;   232,00;   262,000;      985,24;     1.640,03;       574,03;      -411,21;    -1.066,00
10.023.030;CONVENIENCIA/ELETRONICOS      ;     0,00;    40,000;        0,00;       162,89;       466,60;       466,60;       303,71
10.023.031;CONVENIENCIA/PRESENTES        ;     0,00;    71,000;        0,00;        18,29;       336,36;       336,36;       318,07
Classif:10.023;CONVENIENCIA        ;   523,00;   434,000;    5.173,89;     1.951,07;     1.644,96;    -3.528,93;      -306,11
10.024.032;DECORACAO/BAZAR               ;     0,00;     4,000;        0,00;       552,18;       915,96;       915,96;       363,78
