Produto;Descricao;QtdEntrada;QtdSaída;VlCompras;VlCusto;Faturamento;Fatura-Compra;Fatura-Custo
          ;LOJA                          ;     0,00;    16,000;        0,00;        60,18;       129,34;       129,34;        69,16
Classif:      ;sem categoria       ;     0,00;    16,000;        0,00;        60,18;       129,34;       129,34;        69,16
10.019.014;BIJUTERIAS/ACESS FRIO         ;     0,00;     6,000;        0,00;         0,00;       143,94;       143,94;       143,94
10.019.015;BIJUTERIAS/BIJUTERIAS         ;     0,00;   197,000;        0,00;       114,57;     3.188,44;     3.188,44;     3.073,87
10.019.020;BIJUTERIAS/MAQUIAGEM          ;     0,00;   104,000;        0,00;        56,16;     1.130,92;     1.130,92;     1.074,76
Classif:10.019;BIJUTERIAS          ;     0,00;   307,000;        0,00;       170,73;     4.463,30;     4.463,30;     4.292,57
10.020.022;BRINQUEDOS/BRINQUEDO          ;     0,00;    55,000;        0,00;       906,61;     1.681,45;     1.681,45;       774,84
10.020.025;BRINQUEDOS/LAZER CAMPING      ;     0,00;     1,000;        0,00;        11,20;        29,99;        29,99;        18,79
Classif:10.020;BRINQUEDOS          ;     0,00;    56,000;        0,00;       917,81;     1.711,44;     1.711,44;       793,63
10.022.   ;CAMA MESA BANHO               ;     0,00;     1,000;        0,00;        59,99;       119,99;       119,99;        60,00
10.022.026;CAMA MESA BANHO/CAMA MESA BANH;     0,00;   109,000;        0,00;     1.096,83;     2.370,91;     2.370,91;     1.274,08
Classif:10.022;CAMA MESA BANHO     ;     0,00;   110,000;        0,00;     1.156,82;     2.490,90;     2.490,90;     1.334,08
10.023.   ;CONVENIENCIA                  ;     0,00;     1,000;        0,00;        10,00;        15,99;        15,99;         5,99
10.023.027;CONVENIENCIA/ALIMENTOS        ;     0,00;    34,000;        0,00;       116,21;       198,69;       198,69;        82,48
10.023.028;CONVENIENCIA/BEBIDAS          ;     0,00;    34,000;        0,00;        64,67;       112,76;       112,76;        48,09
10.023.029;CONVENIENCIA/BOMBONIERE       ;     0,00;   267,000;        0,00;       410,61;       447,77;       447,77;        37,16
10.023.030;CONVENIENCIA/ELETRONICOS      ;     0,00;    26,000;        0,00;        40,81;       426,86;       426,86;       386,05
10.023.031;CONVENIENCIA/PRESENTES        ;     0,00;    25,000;        0,00;         0,00;       104,26;       104,26;       104,26
Classif:10.023;CONVENIENCIA        ;     0,00;   387,000;        0,00;       642,30;     1.306,33;     1.306,33;       664,03
10.024.032;DECORACAO/BAZAR               ;     0,00;     2,000;        0,00;        26,00;        53,98;        53,98;        27,98
10.024.033;DECORACAO/DECORACAO           ;     0,00;    15,000;        0,00;       571,25;     1.020,85;     1.020,85;       449,60
10.024.034;DECORACAO/ESPELHO             ;     0,00;     2,000;        0,00;       133,91;       242,98;       242,98;       109,07
10.024.035;DECORACAO/MOVEIS              ;     0,00;     2,000;        0,00;       110,00;       209,98;       209,98;        99,98
10.024.036;DECORACAO/PORTA RETRATO       ;     0,00;     9,000;        0,00;        46,70;       104,41;       104,41;        57,71
10.024.037;DECORACAO/QUADROS             ;     0,00;     4,000;        0,00;       229,75;       434,46;       434,46;       204,71
10.024.038;DECORACAO/TOALHA P/ METRO     ;     0,00;     4,500;        0,00;         2,43;        67,44;        67,44;        65,01
Classif:10.024;DECORACAO           ;     0,00;    38,500;        0,00;     1.120,04;     2.134,10;     2.134,10;     1.014,06
10.026.042;DIVERSOS/FRETE                ;     0,00;     2,000;        0,00;         1,08;        50,00;        50,00;        48,92
Classif:10.026;DIVERSOS            ;     0,00;     2,000;        0,00;         1,08;        50,00;        50,00;        48,92
10.030.047;ESTACIONAMENTO/ESTACIONAMENTO ;     0,00;     7,000;        0,00;         7,00;        39,00;        39,00;        32,00
Classif:10.030;ESTACIONAMENTO      ;     0,00;     7,000;        0,00;         7,00;        39,00;        39,00;        32,00
10.033.   ;LEDS                          ;     0,00;     1,000;        0,00;         2,99;         7,99;         7,99;         5,00
