Produto;Descricao;QtdEntrada;QtdSaída;VlCompras;VlCusto;Faturamento;Fatura-Compra;Fatura-Custo
          ;LOJA                          ;     0,00;    11,000;        0,00;       134,99;       227,89;       227,89;        92,90
Classif:      ;sem categoria       ;     0,00;    11,000;        0,00;       134,99;       227,89;       227,89;        92,90
10.019.014;BIJUTERIAS/ACESS FRIO         ;     0,00;     2,000;        0,00;         0,00;        27,98;        27,98;        27,98
10.019.015;BIJUTERIAS/BIJUTERIAS         ;     0,00;   250,000;        0,00;       146,43;     2.875,09;     2.875,09;     2.728,66
10.019.020;BIJUTERIAS/MAQUIAGEM          ;     0,00;   112,000;        0,00;        60,48;     1.165,02;     1.165,02;     1.104,54
10.019.022;BIJUTERIA/ACESSORIOS VERAO    ;     0,00;     3,000;        0,00;         0,00;       174,77;       174,77;       174,77
Classif:10.019;BIJUTERIAS          ;     0,00;   367,000;        0,00;       206,91;     4.242,86;     4.242,86;     4.035,95
10.020.022;BRINQUEDOS/BRINQUEDO          ;     0,00;   212,000;        0,00;     2.964,79;     5.668,13;     5.668,13;     2.703,34
10.020.024;BRINQUEDOS/INFANTIL           ;     0,00;     3,000;        0,00;        40,43;        75,97;        75,97;        35,54
10.020.025;BRINQUEDOS/LAZER CAMPING      ;     0,00;     2,000;        0,00;        19,03;        67,98;        67,98;        48,95
Classif:10.020;BRINQUEDOS          ;     0,00;   217,000;        0,00;     3.024,25;     5.812,08;     5.812,08;     2.787,83
10.022.026;CAMA MESA BANHO/CAMA MESA BANH;     0,00;   101,000;        0,00;     1.405,04;     2.950,13;     2.950,13;     1.545,09
Classif:10.022;CAMA MESA BANHO     ;     0,00;   101,000;        0,00;     1.405,04;     2.950,13;     2.950,13;     1.545,09
10.023.   ;CONVENIENCIA                  ;     0,00;     1,000;        0,00;        10,00;        15,99;        15,99;         5,99
10.023.027;CONVENIENCIA/ALIMENTOS        ;     0,00;    18,000;        0,00;        63,10;       107,37;       107,37;        44,27
10.023.028;CONVENIENCIA/BEBIDAS          ;     0,00;    57,000;        0,00;       101,98;       184,73;       184,73;        82,75
10.023.029;CONVENIENCIA/BOMBONIERE       ;     0,00;   237,000;        0,00;       672,03;       485,94;       485,94;      -186,09
10.023.030;CONVENIENCIA/ELETRONICOS      ;     0,00;    52,000;        0,00;        90,23;       724,68;       724,68;       634,45
10.023.031;CONVENIENCIA/PRESENTES        ;     0,00;   101,000;        0,00;        22,70;       404,55;       404,55;       381,85
Classif:10.023;CONVENIENCIA        ;     0,00;   466,000;        0,00;       960,04;     1.923,26;     1.923,26;       963,22
10.024.   ;DECORACAO                     ;     0,00;     2,000;        0,00;        12,58;        25,98;        25,98;        13,40
10.024.032;DECORACAO/BAZAR               ;     0,00;     3,000;        0,00;       273,00;       546,97;       546,97;       273,97
10.024.033;DECORACAO/DECORACAO           ;     0,00;    59,000;        0,00;       907,40;     1.789,71;     1.789,71;       882,31
10.024.034;DECORACAO/ESPELHO             ;     0,00;     2,000;        0,00;       147,65;       291,98;       291,98;       144,33
10.024.035;DECORACAO/MOVEIS              ;     0,00;     1,000;        0,00;        21,21;        38,99;        38,99;        17,78
10.024.036;DECORACAO/PORTA RETRATO       ;     0,00;    13,000;        0,00;        97,69;       194,37;       194,37;        96,68
10.024.037;DECORACAO/QUADROS             ;     0,00;     6,000;        0,00;        44,27;        85,68;        85,68;        41,41
10.024.038;DECORACAO/TOALHA P/ METRO     ;     0,00;     1,500;        0,00;         0,81;        17,98;        17,98;        17,17
Classif:10.024;DECORACAO           ;     0,00;    87,500;        0,00;     1.504,61;     2.991,66;     2.991,66;     1.487,05
10.030.047;ESTACIONAMENTO/ESTACIONAMENTO ;     0,00;     2,000;        0,00;         2,00;        11,00;        11,00;         9,00
Classif:10.030;ESTACIONAMENTO      ;     0,00;     2,000;        0,00;         2,00;        11,00;        11,00;         9,00
10.033.   ;LEDS                          ;     0,00;     3,000;        0,00;        14,95;        45,97;        45,97;        31,02
10.033.049;LEDS/CORTE DE TOALHA          ;     0,00;     2,000;        0,00;        27,05;        50,98;        50,98;        23,93
10.033.050;LEDS/FERRAMENTA               ;     0,00;    16,000;        0,00;       105,81;       230,04;       230,04;       124,23
10.033.051;LEDS/ILUMINACAO               ;     0,00;    48,000;        0,00;       240,86;       518,52;       518,52;       277,66
10.033.052;LEDS/LED                      ;     0,00;    21,000;        0,00;       318,43;       626,29;       626,29;       307,86
Classif:10.033;LEDS                ;     0,00;    90,000;        0,00;       707,10;     1.471,80;     1.471,80;       764,70
10.040.055;PAPELARIA/ARMARINHOS          ;     0,00;    12,000;        0,00;         3,49;        15,39;        15,39;        11,90
10.040.057;PAPELARIA/PAPELARIA           ;     0,00;   142,000;        0,00;       692,76;     1.403,55;     1.403,55;       710,79
Classif:10.040;PAPELARIA           ;     0,00;   154,000;        0,00;       696,25;     1.418,94;     1.418,94;       722,69
10.049.061;UTENSILIOS/ARAMADOS           ;     0,00;     2,000;        0,00;         7,44;        14,98;        14,98;         7,54
10.049.062;UTENSILIOS/COZINHA            ;     0,00;    55,000;        0,00;       610,31;     1.288,62;     1.288,62;       678,31
10.049.063;UTENSILIOS/UTENSILIOS         ;     0,00;   113,000;        0,00;       668,32;     1.302,40;     1.302,40;       634,08
Classif:10.049;UTENSILIOS          ;     0,00;   170,000;        0,00;     1.286,07;     2.606,00;     2.606,00;     1.319,93
10.050.064;UTILIDADES/ACESSORIO DE BANHEI;     0,00;     8,000;        0,00;        71,31;       143,65;       143,65;        72,34
10.050.065;UTILIDADES/ELETRO DOMESTICO   ;     0,00;     3,000;        0,00;        84,77;       159,97;       159,97;        75,20
10.050.067;UTILIDADES/LIXEIRA            ;     0,00;     7,000;        0,00;       120,98;       216,43;       216,43;        95,45
10.050.068;UTILIDADES/UTILIDADES         ;     0,00;   160,000;        0,00;     1.249,62;     2.502,72;     2.502,72;     1.253,10
Classif:10.050;UTILIDADES          ;     0,00;   178,000;        0,00;     1.526,68;     3.022,77;     3.022,77;     1.496,09
10.051.   ;VARIEDADES                    ;     0,00;     7,000;        0,00;        59,31;       122,22;       122,22;        62,91
10.051.069;VARIEDADES/CESTO E BALDE
    ;     0,00;     6,000;        0,00;        53,31;       103,94;       103,94;        50,63
10.051.070;VARIEDADES/VIDROS             ;     0,00;   115,000;        0,00;     1.287,86;     2.531,36;     2.531,36;     1.243,50
Classif:10.051;VARIEDADES          ;     0,00;   128,000;        0,00;     1.400,48;     2.757,52;     2.757,52;     1.357,04
