Produto;Descricao;QtdEntrada;QtdSaída;VlCompras;VlCusto;Faturamento;Fatura-Compra;Fatura-Custo
          ;LOJA                          ;     0,00;     7,000;        0,00;        24,34;        47,93;        47,93;        23,59
Classif:      ;sem categoria       ;     0,00;     7,000;        0,00;        24,34;        47,93;        47,93;        23,59
10.019.014;BIJUTERIAS/ACESS FRIO         ;     0,00;     1,000;        0,00;         0,00;        43,99;        43,99;        43,99
10.019.015;BIJUTERIAS/BIJUTERIAS         ;     0,00;    83,000;        0,00;        40,08;       652,24;       652,24;       612,16
10.019.020;BIJUTERIAS/MAQUIAGEM          ;     0,00;    46,000;        0,00;        24,84;       412,30;       412,30;       387,46
10.019.022;BIJUTERIA/ACESSORIOS VERAO    ;     0,00;     1,000;        0,00;         0,00;        79,19;        79,19;        79,19
Classif:10.019;BIJUTERIAS          ;     0,00;   131,000;        0,00;        64,92;     1.187,72;     1.187,72;     1.122,80
10.020.022;BRINQUEDOS/BRINQUEDO          ;     0,00;    53,000;        0,00;       962,41;     1.819,47;     1.819,47;       857,06
10.020.025;BRINQUEDOS/LAZER CAMPING      ;     0,00;     1,000;        0,00;         7,66;        14,99;        14,99;         7,33
Classif:10.020;BRINQUEDOS          ;     0,00;    54,000;        0,00;       970,07;     1.834,46;     1.834,46;       864,39
10.022.026;CAMA MESA BANHO/CAMA MESA BANH;     0,00;    50,500;        0,00;       690,10;     1.534,67;     1.534,67;       844,57
Classif:10.022;CAMA MESA BANHO     ;     0,00;    50,500;        0,00;       690,10;     1.534,67;     1.534,67;       844,57
10.023.027;CONVENIENCIA/ALIMENTOS        ;     0,00;    19,000;        0,00;       141,75;       125,14;       125,14;       -16,61
10.023.028;CONVENIENCIA/BEBIDAS          ;     0,00;    20,000;        0,00;        35,35;        60,45;        60,45;        25,10
10.023.029;CONVENIENCIA/BOMBONIERE       ;     0,00;   101,000;        0,00;       149,44;       139,00;       139,00;       -10,44
10.023.030;CONVENIENCIA/ELETRONICOS      ;     0,00;    21,000;        0,00;        50,85;       268,75;       268,75;       217,90
10.023.031;CONVENIENCIA/PRESENTES        ;     0,00;    38,000;        0,00;         0,00;       145,16;       145,16;       145,16
Classif:10.023;CONVENIENCIA        ;     0,00;   199,000;        0,00;       377,39;       738,50;       738,50;       361,11
