Produto;Descricao;QtdEntrada;QtdSaída;VlCompras;VlCusto;Faturamento;Fatura-Compra;Fatura-Custo
          ;LOJA                          ;     0,00;     2,000;        0,00;         7,24;        13,98;        13,98;         6,74
Classif:      ;sem categoria       ;     0,00;     2,000;        0,00;         7,24;        13,98;        13,98;         6,74
10.019.014;BIJUTERIAS/ACESS FRIO         ;     0,00;     3,000;        0,00;         0,00;        78,97;        78,97;        78,97
10.019.015;BIJUTERIAS/BIJUTERIAS         ;     0,00;    66,000;        0,00;        70,15;       793,87;       793,87;       723,72
10.019.018;BIJUTERIAS/FANTASIA           ;     0,00;     1,000;        0,00;        36,75;        73,99;        73,99;        37,24
10.019.020;BIJUTERIAS/MAQUIAGEM          ;     0,00;    10,000;        0,00;        31,53;       100,40;       100,40;        68,87
Classif:10.019;BIJUTERIAS          ;     0,00;    80,000;        0,00;       138,43;     1.047,23;     1.047,23;       908,80
10.020.022;BRINQUEDOS/BRINQUEDO          ;     0,00;    52,000;        0,00;       689,11;     1.288,98;     1.288,98;       599,87
Classif:10.020;BRINQUEDOS          ;     0,00;    52,000;        0,00;       689,11;     1.288,98;     1.288,98;       599,87
10.022.026;CAMA MESA BANHO/CAMA MESA BANH;     0,00;    73,000;        0,00;       828,14;     1.533,77;     1.533,77;       705,63
Classif:10.022;CAMA MESA BANHO     ;     0,00;    73,000;        0,00;       828,14;     1.533,77;     1.533,77;       705,63
10.023.   ;CONVENIENCIA                  ;     0,00;     1,000;        0,00;        11,50;        18,99;        18,99;         7,49
10.023.027;CONVENIENCIA/ALIMENTOS        ;     0,00;     5,000;        0,00;        70,96;        12,95;        12,95;       -58,01
10.023.028;CONVENIENCIA/BEBIDAS          ;     0,00;    25,000;        0,00;        55,86;        96,75;        96,75;        40,89
10.023.029;CONVENIENCIA/BOMBONIERE       ;     0,00;    71,000;        0,00;       297,55;       193,80;       193,80;      -103,75
10.023.030;CONVENIENCIA/ELETRONICOS      ;     0,00;    26,000;        0,00;       126,20;       397,24;       397,24;       271,04
10.023.031;CONVENIENCIA/PRESENTES        ;     0,00;    24,000;        0,00;         0,00;        70,85;        70,85;        70,85
Classif:10.023;CONVENIENCIA        ;     0,00;   152,000;        0,00;       562,07;       790,58;       790,58;       228,51
10.024.   ;DECORACAO                     ;     0,00;     1,000;        0,00;        12,38;        19,99;        19,99;         7,61
10.024.032;DECORACAO/BAZAR               ;     0,00;     2,000;        0,00;       106,90;       231,48;       231,48;       124,58
10.024.033;DECORACAO/DECORACAO           ;     0,00;    22,000;        0,00;       353,92;       692,08;       692,08;       338,16
10.024.034;DECORACAO/ESPELHO             ;     0,00;     3,000;        0,00;       121,95;       207,97;       207,97;        86,02
10.024.036;DECORACAO/PORTA RETRATO       ;     0,00;     4,000;        0,00;        34,96;        58,96;        58,96;        24,00
10.024.037;DECORACAO/QUADROS             ;     0,00;     5,000;        0,00;       188,49;       339,45;       339,45;       150,96
10.024.038;DECORACAO/TOALHA P/ METRO     ;     0,00;     1,500;        0,00;         0,81;        31,48;        31,48;        30,67
Classif:10.024;DECORACAO           ;     0,00;    38,500;        0,00;       819,41;     1.581,41;     1.581,41;       762,00
10.033.050;LEDS/FERRAMENTA               ;     0,00;    21,000;        0,00;        81,28;       171,29;       171,29;        90,01
10.033.051;LEDS/ILUMINACAO               ;     0,00;     3,000;        0,00;       115,00;       196,47;       196,47;        81,47
10.033.052;LEDS/LED                      ;     0,00;    20,000;        0,00;       104,13;       232,30;       232,30;       128,17
Classif:10.033;LEDS                ;     0,00;    44,000;        0,00;       300,41;       600,06;       600,06;       299,65
10.040.   ;PAPELARIA                     ;     0,00;     1,000;        0,00;         2,50;         4,99;         4,99;         2,49
10.040.057;PAPELARIA/PAPELARIA           ;     0,00;   129,000;        0,00;     1.684,40;       731,45;       731,45;      -952,95
Classif:10.040;PAPELARIA           ;     0,00;   130,000;        0,00;     1.686,90;       736,44;       736,44;      -950,46
10.049.061;UTENSILIOS/ARAMADOS           ;     0,00;     2,000;        0,00;        13,72;        23,48;        23,48;         9,76
10.049.062;UTENSILIOS/COZINHA            ;     0,00;    39,000;        0,00;       489,57;       900,11;       900,11;       410,54
10.049.063;UTENSILIOS/UTENSILIOS         ;     0,00;    91,000;        0,00;       692,55;     1.243,59;     1.243,59;       551,04
Classif:10.049;UTENSILIOS          ;     0,00;   132,000;        0,00;     1.195,84;     2.167,18;     2.167,18;       971,34
10.050.064;UTILIDADES/ACESSORIO DE BANHEI;     0,00;    11,000;        0,00;       138,34;       255,89;       255,89;       117,55
10.050.065;UTILIDADES/ELETRO DOMESTICO   ;     0,00;     1,000;        0,00;         5,06;         9,49;         9,49;         4,43
10.050.068;UTILIDADES/UTILIDADES         ;     0,00;   127,000;        0,00;       887,37;     1.614,73;     1.614,73;       727,36
Classif:10.050;UTILIDADES          ;     0,00;   139,000;        0,00;     1.030,77;     1.880,11;     1.880,11;       849,34
10.051.069;VARIEDADES/CESTO E BALDE
    ;     0,00;    14,000;        0,00;       162,27;       291,86;       291,86;       129,59
10.051.070;VARIEDADES/VIDROS             ;     0,00;    46,000;        0,00;       379,64;       687,04;       687,04;       307,40
Classif:10.051;VARIEDADES          ;     0,00;    60,000;        0,00;       541,91;       978,90;       978,90;       436,99
