Produto;Descricao;QtdEntrada;QtdSaída;VlCompras;VlCusto;Faturamento;Fatura-Compra;Fatura-Custo
          ;LOJA                          ;     0,00;     5,000;        0,00;        11,58;        18,45;        18,45;         6,87
Classif:      ;sem categoria       ;     0,00;     5,000;        0,00;        11,58;        18,45;        18,45;         6,87
10.019.015;BIJUTERIAS/BIJUTERIAS         ;     0,00;   109,000;        0,00;        75,40;     1.668,45;     1.668,45;     1.593,05
10.019.020;BIJUTERIAS/MAQUIAGEM          ;     0,00;    27,000;        0,00;        31,19;       259,73;       259,73;       228,54
Classif:10.019;BIJUTERIAS          ;     0,00;   136,000;        0,00;       106,59;     1.928,18;     1.928,18;     1.821,59
10.020.022;BRINQUEDOS/BRINQUEDO          ;     0,00;    35,000;        0,00;       649,89;     1.200,15;     1.200,15;       550,26
10.020.024;BRINQUEDOS/INFANTIL           ;     0,00;     1,000;        0,00;        23,86;        41,99;        41,99;        18,13
Classif:10.020;BRINQUEDOS          ;     0,00;    36,000;        0,00;       673,75;     1.242,14;     1.242,14;       568,39
10.022.026;CAMA MESA BANHO/CAMA MESA BANH;     0,00;   140,500;        0,00;     1.572,42;     2.907,81;     2.907,81;     1.335,39
Classif:10.022;CAMA MESA BANHO     ;     0,00;   140,500;        0,00;     1.572,42;     2.907,81;     2.907,81;     1.335,39
10.023.   ;CONVENIENCIA                  ;     0,00;     1,000;        0,00;        11,50;        18,99;        18,99;         7,49
10.023.027;CONVENIENCIA/ALIMENTOS        ;     0,00;    11,000;        0,00;        55,26;        28,89;        28,89;       -26,37
10.023.028;CONVENIENCIA/BEBIDAS          ;     0,00;    41,000;        0,00;        62,23;       113,91;       113,91;        51,68
10.023.029;CONVENIENCIA/BOMBONIERE       ;     0,00;   105,000;        0,00;       521,35;       260,72;       260,72;      -260,63
10.023.030;CONVENIENCIA/ELETRONICOS      ;     0,00;    13,000;        0,00;       101,62;       191,22;       191,22;        89,60
10.023.031;CONVENIENCIA/PRESENTES        ;     0,00;    34,000;        0,00;         1,95;       153,16;       153,16;       151,21
Classif:10.023;CONVENIENCIA        ;     0,00;   205,000;        0,00;       753,91;       766,89;       766,89;        12,98
10.024.   ;DECORACAO                     ;     0,00;     1,000;        0,00;        12,38;        19,99;        19,99;         7,61
10.024.032;DECORACAO/BAZAR               ;     0,00;     8,000;        0,00;       219,88;       375,42;       375,42;       155,54
10.024.033;DECORACAO/DECORACAO           ;     0,00;    16,000;        0,00;       180,73;       363,80;       363,80;       183,07
10.024.036;DECORACAO/PORTA RETRATO       ;     0,00;     9,000;        0,00;        61,30;        98,91;        98,91;        37,61
10.024.037;DECORACAO/QUADROS             ;     0,00;     8,000;        0,00;        71,81;       151,92;       151,92;        80,11
10.024.038;DECORACAO/TOALHA P/ METRO     ;     0,00;     3,750;        0,00;         2,03;        74,21;        74,21;        72,18
Classif:10.024;DECORACAO           ;     0,00;    45,750;        0,00;       548,13;     1.084,25;     1.084,25;       536,12
10.026.040;DIVERSOS/DIVERSOS             ;     0,00;     2,000;        0,00;        11,42;        19,98;        19,98;         8,56
Classif:10.026;DIVERSOS            ;     0,00;     2,000;        0,00;        11,42;        19,98;        19,98;         8,56
10.033.   ;LEDS                          ;     0,00;     1,000;        0,00;         3,52;         7,99;         7,99;         4,47
10.033.049;LEDS/CORTE DE TOALHA          ;     0,00;     2,000;        0,00;        10,30;        27,98;        27,98;        17,68
10.033.050;LEDS/FERRAMENTA               ;     0,00;    16,000;        0,00;       114,01;       206,05;       206,05;        92,04
10.033.051;LEDS/ILUMINACAO               ;     0,00;     3,000;        0,00;        13,16;        34,97;        34,97;        21,81
10.033.052;LEDS/LED                      ;     0,00;    10,000;        0,00;       199,97;       346,40;       346,40;       146,43
Classif:10.033;LEDS                ;     0,00;    32,000;        0,00;       340,96;       623,39;       623,39;       282,43
10.040.   ;PAPELARIA                     ;     0,00;     2,000;        0,00;         4,44;         6,98;         6,98;         2,54
10.040.055;PAPELARIA/ARMARINHOS          ;     0,00;     1,000;        0,00;         1,94;         3,49;         3,49;         1,55
10.040.057;PAPELARIA/PAPELARIA           ;     0,00;   147,500;        0,00;       525,27;     1.224,10;     1.224,10;       698,83
Classif:10.040;PAPELARIA           ;     0,00;   150,500;        0,00;       531,65;     1.234,57;     1.234,57;       702,92
10.049.061;UTENSILIOS/ARAMADOS           ;     0,00;     2,000;        0,00;         7,44;        12,98;        12,98;         5,54
