Produto;Descricao;QtdEntrada;QtdSaída;VlCompras;VlCusto;Faturamento;Fatura-Compra;Fatura-Custo
          ;LOJA                          ;     0,00;    14,000;        0,00;        39,57;        96,36;        96,36;        56,79
Classif:      ;sem categoria       ;     0,00;    14,000;        0,00;        39,57;        96,36;        96,36;        56,79
10.019.014;BIJUTERIAS/ACESS FRIO         ;     0,00;     3,000;        0,00;         0,00;        62,77;        62,77;        62,77
10.019.015;BIJUTERIAS/BIJUTERIAS         ;     0,00;    81,000;        0,00;        58,93;     1.016,59;     1.016,59;       957,66
10.019.018;BIJUTERIAS/FANTASIA           ;     0,00;     1,000;        0,00;        12,53;        49,99;        49,99;        37,46
10.019.020;BIJUTERIAS/MAQUIAGEM          ;     0,00;    36,000;        0,00;        19,44;       354,35;       354,35;       334,91
Classif:10.019;BIJUTERIAS          ;     0,00;   121,000;        0,00;        90,90;     1.483,70;     1.483,70;     1.392,80
10.020.022;BRINQUEDOS/BRINQUEDO          ;     0,00;    74,000;        0,00;       942,23;     1.734,16;     1.734,16;       791,93
10.020.024;BRINQUEDOS/INFANTIL           ;     0,00;     1,000;        0,00;        14,87;        28,99;        28,99;        14,12
10.020.025;BRINQUEDOS/LAZER CAMPING      ;     0,00;     6,000;        0,00;        12,06;        23,94;        23,94;        11,88
Classif:10.020;BRINQUEDOS          ;     0,00;    81,000;        0,00;       969,16;     1.787,09;     1.787,09;       817,93
10.022.026;CAMA MESA BANHO/CAMA MESA BANH;     0,00;    74,600;        0,00;     1.000,98;     1.776,86;     1.776,86;       775,88
Classif:10.022;CAMA MESA BANHO     ;     0,00;    74,600;        0,00;     1.000,98;     1.776,86;     1.776,86;       775,88
10.023.027;CONVENIENCIA/ALIMENTOS        ;     0,00;    10,000;        0,00;        30,71;        60,40;        60,40;        29,69
10.023.028;CONVENIENCIA/BEBIDAS          ;     0,00;    27,000;        0,00;       237,61;        77,83;        77,83;      -159,78
10.023.029;CONVENIENCIA/BOMBONIERE       ;     0,00;   155,000;        0,00;       341,29;       432,19;       432,19;        90,90
10.023.030;CONVENIENCIA/ELETRONICOS      ;     0,00;    32,000;        0,00;       137,17;       404,68;       404,68;       267,51
10.023.031;CONVENIENCIA/PRESENTES        ;     0,00;    38,000;        0,00;         9,46;       158,73;       158,73;       149,27
Classif:10.023;CONVENIENCIA        ;     0,00;   262,000;        0,00;       756,24;     1.133,83;     1.133,83;       377,59
10.024.032;DECORACAO/BAZAR               ;     0,00;     2,000;        0,00;         3,36;         5,68;         5,68;         2,32
10.024.033;DECORACAO/DECORACAO           ;     0,00;    13,000;        0,00;       156,55;       292,37;       292,37;       135,82
10.024.034;DECORACAO/ESPELHO             ;     0,00;     8,000;        0,00;       204,44;       757,92;       757,92;       553,48
10.024.035;DECORACAO/MOVEIS              ;     0,00;     2,000;        0,00;        81,43;       146,98;       146,98;        65,55
10.024.036;DECORACAO/PORTA RETRATO       ;     0,00;     6,000;        0,00;        38,96;        75,94;        75,94;        36,98
10.024.037;DECORACAO/QUADROS             ;     0,00;     5,000;        0,00;        31,50;        59,95;        59,95;        28,45
Classif:10.024;DECORACAO           ;     0,00;    36,000;        0,00;       516,24;     1.338,84;     1.338,84;       822,60
10.026.040;DIVERSOS/DIVERSOS             ;     0,00;     1,000;        0,00;         0,57;         2,49;         2,49;         1,92
Classif:10.026;DIVERSOS            ;     0,00;     1,000;        0,00;         0,57;         2,49;         2,49;         1,92
10.033.   ;LEDS                          ;     0,00;     1,000;        0,00;         3,52;         7,99;         7,99;         4,47
10.033.049;LEDS/CORTE DE TOALHA          ;     0,00;     1,000;        0,00;         1,55;         3,99;         3,99;         2,44
10.033.050;LEDS/FERRAMENTA               ;     0,00;    18,000;        0,00;       157,12;       308,32;       308,32;       151,20
10.033.051;LEDS/ILUMINACAO               ;     0,00;     8,000;        0,00;        23,21;        57,92;        57,92;        34,71
10.033.052;LEDS/LED                      ;     0,00;    33,000;        0,00;       541,98;       933,17;       933,17;       391,19
Classif:10.033;LEDS                ;     0,00;    61,000;        0,00;       727,38;     1.311,39;     1.311,39;       584,01
10.040.055;PAPELARIA/ARMARINHOS          ;     0,00;     3,000;        0,00;        12,44;        21,97;        21,97;         9,53
10.040.057;PAPELARIA/PAPELARIA           ;     0,00;   382,800;        0,00;     1.007,22;     2.474,47;     2.474,47;     1.467,25
10.040.058;PAPELARIA/TOALHA P/METRO      ;     0,00;     2,000;        0,00;         1,08;        41,98;        41,98;        40,90
Classif:10.040;PAPELARIA           ;     0,00;   387,800;        0,00;     1.020,74;     2.538,42;     2.538,42;     1.517,68
10.049.   ;UTENSILIOS                    ;     0,00;     1,000;        0,00;       112,85;       114,99;       114,99;         2,14
10.049.062;UTENSILIOS/COZINHA            ;     0,00;    26,000;        0,00;       459,90;       899,89;       899,89;       439,99
10.049.063;UTENSILIOS/UTENSILIOS         ;     0,00;    90,000;        0,00;       519,34;       991,60;       991,60;       472,26
Classif:10.049;UTENSILIOS          ;     0,00;   117,000;        0,00;     1.092,09;     2.006,48;     2.006,48;       914,39
10.050.   ;UTILIDADES                    ;     0,00;     2,000;        0,00;        16,20;        29,98;        29,98;        13,78
