Produto;Descricao;QtdEntrada;QtdSaída;VlCompras;VlCusto;Faturamento;Fatura-Compra;Fatura-Custo
          ;LOJA                          ;     0,00;    18,000;        0,00;        67,09;       177,32;       177,32;       110,23
Classif:      ;sem categoria       ;     0,00;    18,000;        0,00;        67,09;       177,32;       177,32;       110,23
10.019.014;BIJUTERIAS/ACESS FRIO         ;     0,00;     3,000;        0,00;         0,00;        81,97;        81,97;        81,97
10.019.015;BIJUTERIAS/BIJUTERIAS         ;     0,00;   148,000;        0,00;       128,10;     1.843,03;     1.843,03;     1.714,93
10.019.020;BIJUTERIAS/MAQUIAGEM          ;     0,00;    87,000;        0,00;        54,70;       947,89;       947,89;       893,19
Classif:10.019;BIJUTERIAS          ;     0,00;   238,000;        0,00;       182,80;     2.872,89;     2.872,89;     2.690,09
10.020.022;BRINQUEDOS/BRINQUEDO          ;     0,00;   196,000;        0,00;     3.395,27;     6.532,91;     6.532,91;     3.137,64
10.020.024;BRINQUEDOS/INFANTIL           ;     0,00;     4,000;        0,00;        70,61;       133,96;       133,96;        63,35
10.020.025;BRINQUEDOS/LAZER CAMPING      ;     0,00;     1,000;        0,00;        43,52;        82,99;        82,99;        39,47
Classif:10.020;BRINQUEDOS          ;     0,00;   201,000;        0,00;     3.509,40;     6.749,86;     6.749,86;     3.240,46
10.022.026;CAMA MESA BANHO/CAMA MESA BANH;     0,00;   189,000;        0,00;     2.568,54;     4.861,51;     4.861,51;     2.292,97
Classif:10.022;CAMA MESA BANHO     ;     0,00;   189,000;        0,00;     2.568,54;     4.861,51;     4.861,51;     2.292,97
10.023.027;CONVENIENCIA/ALIMENTOS        ;     0,00;    37,000;        0,00;        99,97;       170,83;       170,83;        70,86
10.023.028;CONVENIENCIA/BEBIDAS          ;     0,00;    72,000;        0,00;       912,30;       207,33;       207,33;      -704,97
10.023.029;CONVENIENCIA/BOMBONIERE       ;     0,00;   259,000;        0,00;     1.230,67;       715,22;       715,22;      -515,45
10.023.030;CONVENIENCIA/ELETRONICOS      ;     0,00;    43,000;        0,00;       113,85;       478,07;       478,07;       364,22
10.023.031;CONVENIENCIA/PRESENTES        ;     0,00;   137,000;        0,00;         0,00;       567,02;       567,02;       567,02
Classif:10.023;CONVENIENCIA        ;     0,00;   548,000;        0,00;     2.356,79;     2.138,47;     2.138,47;      -218,32
10.024.   ;DECORACAO                     ;     0,00;     1,000;        0,00;         8,56;        15,99;        15,99;         7,43
10.024.032;DECORACAO/BAZAR               ;     0,00;    12,000;        0,00;       643,44;     1.795,10;     1.795,10;     1.151,66
10.024.033;DECORACAO/DECORACAO           ;     0,00;    88,000;        0,00;     1.213,76;     2.173,38;     2.173,38;       959,62
10.024.034;DECORACAO/ESPELHO             ;     0,00;    14,000;        0,00;       953,80;     1.923,91;     1.923,91;       970,11
10.024.035;DECORACAO/MOVEIS              ;     0,00;     4,000;        0,00;       216,08;       409,96;       409,96;       193,88
10.024.036;DECORACAO/PORTA RETRATO       ;     0,00;     9,000;        0,00;        43,44;        90,41;        90,41;        46,97
