Produto;Descricao;QtdEntrada;QtdSaída;VlCompras;VlCusto;Faturamento;Fatura-Compra;Fatura-Custo
          ;LOJA                          ;     0,00;     6,000;        0,00;        12,53;        20,94;        20,94;         8,41
Classif:      ;sem categoria       ;     0,00;     6,000;        0,00;        12,53;        20,94;        20,94;         8,41
10.019.014;BIJUTERIAS/ACESS FRIO         ;     0,00;     2,000;        0,00;         0,00;        35,98;        35,98;        35,98
10.019.015;BIJUTERIAS/BIJUTERIAS         ;     0,00;    72,000;        0,00;        47,76;       531,28;       531,28;       483,52
10.019.020;BIJUTERIAS/MAQUIAGEM          ;     0,00;    36,000;        0,00;        22,86;       335,14;       335,14;       312,28
Classif:10.019;BIJUTERIAS          ;     0,00;   110,000;        0,00;        70,62;       902,40;       902,40;       831,78
10.020.022;BRINQUEDOS/BRINQUEDO          ;     0,00;    82,000;        0,00;     1.419,23;     2.597,88;     2.597,88;     1.178,65
10.020.025;BRINQUEDOS/LAZER CAMPING      ;     0,00;     2,000;        0,00;        14,12;        26,98;        26,98;        12,86
Classif:10.020;BRINQUEDOS          ;     0,00;    84,000;        0,00;     1.433,35;     2.624,86;     2.624,86;     1.191,51
10.022.026;CAMA MESA BANHO/CAMA MESA BANH;     0,00;    90,200;        0,00;     1.120,88;     2.259,69;     2.259,69;     1.138,81
Classif:10.022;CAMA MESA BANHO     ;     0,00;    90,200;        0,00;     1.120,88;     2.259,69;     2.259,69;     1.138,81
10.023.027;CONVENIENCIA/ALIMENTOS        ;     0,00;    13,000;        0,00;        38,99;        67,87;        67,87;        28,88
10.023.028;CONVENIENCIA/BEBIDAS          ;     0,00;    25,000;        0,00;       215,47;        81,05;        81,05;      -134,42
10.023.029;CONVENIENCIA/BOMBONIERE       ;     0,00;   122,000;        0,00;       542,55;       296,62;       296,62;      -245,93
10.023.030;CONVENIENCIA/ELETRONICOS      ;     0,00;    16,000;        0,00;        36,31;       172,34;       172,34;       136,03
10.023.031;CONVENIENCIA/PRESENTES        ;     0,00;    36,000;        0,00;        10,42;       154,44;       154,44;       144,02
Classif:10.023;CONVENIENCIA        ;     0,00;   212,000;        0,00;       843,74;       772,32;       772,32;       -71,42
10.024.032;DECORACAO/BAZAR               ;     0,00;     3,000;        0,00;       109,88;       202,97;       202,97;        93,09
10.024.033;DECORACAO/DECORACAO           ;     0,00;    13,000;        0,00;       200,91;       392,87;       392,87;       191,96
10.024.034;DECORACAO/ESPELHO             ;     0,00;     6,000;        0,00;       248,15;       418,94;       418,94;       170,79
10.024.035;DECORACAO/MOVEIS              ;     0,00;     1,000;        0,00;        21,21;        38,99;        38,99;        17,78
10.024.036;DECORACAO/PORTA RETRATO       ;     0,00;     4,000;        0,00;        35,45;       191,96;       191,96;       156,51
10.024.037;DECORACAO/QUADROS             ;     0,00;     4,000;        0,00;        89,02;       336,96;       336,96;       247,94
Classif:10.024;DECORACAO           ;     0,00;    31,000;        0,00;       704,62;     1.582,69;     1.582,69;       878,07
10.026.040;DIVERSOS/DIVERSOS             ;     0,00;     2,000;        0,00;        11,42;        27,98;        27,98;        16,56
Classif:10.026;DIVERSOS            ;     0,00;     2,000;        0,00;        11,42;        27,98;        27,98;        16,56
10.033.   ;LEDS                          ;     0,00;     1,000;        0,00;         3,75;         7,99;         7,99;         4,24
10.033.050;LEDS/FERRAMENTA               ;     0,00;    16,000;        0,00;       248,71;       459,34;       459,34;       210,63
10.033.051;LEDS/ILUMINACAO               ;     0,00;     4,000;        0,00;        26,28;        51,96;        51,96;        25,68
10.033.052;LEDS/LED                      ;     0,00;    49,000;        0,00;       389,83;       816,51;       816,51;       426,68
10.033.053;LEDS/LUSTRES                  ;     0,00;     1,000;        0,00;         9,00;        19,99;        19,99;        10,99
Classif:10.033;LEDS                ;     0,00;    71,000;        0,00;       677,57;     1.355,79;     1.355,79;       678,22
10.040.055;PAPELARIA/ARMARINHOS          ;     0,00;     1,000;        0,00;        12,58;        22,99;        22,99;        10,41
10.040.057;PAPELARIA/PAPELARIA           ;     0,00;   315,000;        0,00;     1.746,72;     1.958,18;     1.958,18;       211,46
Classif:10.040;PAPELARIA           ;     0,00;   316,000;        0,00;     1.759,30;     1.981,17;     1.981,17;       221,87
10.049.062;UTENSILIOS/COZINHA            ;     0,00;    12,000;        0,00;       142,15;       259,88;       259,88;       117,73
10.049.063;UTENSILIOS/UTENSILIOS         ;     0,00;    63,000;        0,00;       429,18;       838,37;       838,37;       409,19
Classif:10.049;UTENSILIOS          ;     0,00;    75,000;        0,00;       571,33;     1.098,25;     1.098,25;       526,92
10.050.   ;UTILIDADES                    ;     0,00;     2,000;        0,00;        51,61;        94,98;        94,98;        43,37
10.050.064;UTILIDADES/ACESSORIO DE BANHEI;     0,00;     9,000;        0,00;        34,13;        63,91;        63,91;        29,78
10.050.065;UTILIDADES/ELETRO DOMESTICO   ;     0,00;     2,000;        0,00;       102,85;       179,48;       179,48;        76,63
10.050.067;UTILIDADES/LIXEIRA            ;     0,00;     8,000;        0,00;       115,01;       223,92;       223,92;       108,91
10.050.068;UTILIDADES/UTILIDADES         ;     0,00;   118,000;        0,00;       819,35;     1.567,32;     1.567,32;       747,97
Classif:10.050;UTILIDADES          ;     0,00;   139,000;        0,00;     1.122,95;     2.129,61;     2.129,61;     1.006,66
10.051.   ;VARIEDADES                    ;     0,00;     2,000;        0,00;        29,27;        60,98;        60,98;        31,71
10.051.069;VARIEDADES/CESTO E BALDE
    ;     0,00;     8,000;        0,00;       100,54;       189,92;       189,92;        89,38
10.051.070;VARIEDADES/VIDROS             ;     0,00;    63,000;        0,00;       509,86;       975,37;       975,37;       465,51
Classif:10.051;VARIEDADES          ;     0,00;    73,000;        0,00;       639,67;     1.226,27;     1.226,27;       586,60
10.053.001;PET/PET                       ;     0,00;     1,000;        0,00;         2,71;         4,99;         4,99;         2,28
Classif:10.053;PET                 ;     0,00;     1,000;        0,00;         2,71;         4,99;         4,99;         2,28
