Produto;Descricao;QtdEntrada;QtdSaída;VlCompras;VlCusto;Faturamento;Fatura-Compra;Fatura-Custo
          ;LOJA                          ;     0,00;    30,000;        0,00;       150,07;       267,70;       267,70;       117,63
Classif:      ;sem categoria       ;     0,00;    30,000;        0,00;       150,07;       267,70;       267,70;       117,63
10.019.014;BIJUTERIAS/ACESS FRIO         ;     0,00;    19,000;        0,00;        44,21;       235,81;       235,81;       191,60
10.019.015;BIJUTERIAS/BIJUTERIAS         ;     0,00;   158,000;        0,00;       271,04;     3.617,09;     3.617,09;     3.346,05
10.019.020;BIJUTERIAS/MAQUIAGEM          ;     0,00;    71,000;        0,00;        64,47;       697,03;       697,03;       632,56
10.019.021;BIJUTERIAS/PERFUMARIA         ;     0,00;     1,000;        0,00;         2,74;         5,99;         5,99;         3,25
Classif:10.019;BIJUTERIAS          ;     0,00;   249,000;        0,00;       382,46;     4.555,92;     4.555,92;     4.173,46
10.020.022;BRINQUEDOS/BRINQUEDO          ;     0,00;   194,000;        0,00;     3.827,53;     7.203,08;     7.203,08;     3.375,55
10.020.023;BRINQUEDOS/FANTASIA PERSONAGEM;     0,00;     1,000;        0,00;         8,00;        14,99;        14,99;         6,99
10.020.024;BRINQUEDOS/INFANTIL           ;     0,00;     4,000;        0,00;        71,04;       132,96;       132,96;        61,92
10.020.025;BRINQUEDOS/LAZER CAMPING      ;     0,00;     5,000;        0,00;        53,89;       100,15;       100,15;        46,26
Classif:10.020;BRINQUEDOS          ;     0,00;   204,000;        0,00;     3.960,46;     7.451,18;     7.451,18;     3.490,72
10.022.026;CAMA MESA BANHO/CAMA MESA BANH;     0,00;   200,100;        0,00;     2.979,13;     6.183,50;     6.183,50;     3.204,37
Classif:10.022;CAMA MESA BANHO     ;     0,00;   200,100;        0,00;     2.979,13;     6.183,50;     6.183,50;     3.204,37
10.023.   ;CONVENIENCIA                  ;     0,00;     1,000;        0,00;        10,00;        15,99;        15,99;         5,99
10.023.027;CONVENIENCIA/ALIMENTOS        ;     0,00;    40,000;        0,00;        39,15;        89,45;        89,45;        50,30
10.023.028;CONVENIENCIA/BEBIDAS          ;   313,00;    68,000;      588,98;       100,81;       187,71;      -401,27;        86,90
10.023.029;CONVENIENCIA/BOMBONIERE       ;     0,00;   257,000;        0,00;       409,11;       636,45;       636,45;       227,34
10.023.030;CONVENIENCIA/ELETRONICOS      ;     0,00;    55,000;        0,00;       212,71;       985,61;       985,61;       772,90
