Produto;Descricao;QtdEntrada;QtdSaída;VlCompras;VlCusto;Faturamento;Fatura-Compra;Fatura-Custo
          ;LOJA                          ;     0,00;    16,000;        0,00;       139,95;       268,34;       268,34;       128,39
Classif:      ;sem categoria       ;     0,00;    16,000;        0,00;       139,95;       268,34;       268,34;       128,39
10.019.014;BIJUTERIAS/ACESS FRIO         ;     0,00;    13,000;        0,00;         0,00;        64,38;        64,38;        64,38
10.019.015;BIJUTERIAS/BIJUTERIAS         ;     0,00;    91,000;        0,00;       308,92;     1.532,14;     1.532,14;     1.223,22
10.019.020;BIJUTERIAS/MAQUIAGEM          ;     0,00;    45,000;        0,00;        44,99;       371,55;       371,55;       326,56
10.019.021;BIJUTERIAS/PERFUMARIA         ;     0,00;     1,000;        0,00;         2,74;         5,99;         5,99;         3,25
Classif:10.019;BIJUTERIAS          ;     0,00;   150,000;        0,00;       356,65;     1.974,06;     1.974,06;     1.617,41
10.020.022;BRINQUEDOS/BRINQUEDO          ;     0,00;    92,000;        0,00;     1.748,78;     3.218,58;     3.218,58;     1.469,80
Classif:10.020;BRINQUEDOS          ;     0,00;    92,000;        0,00;     1.748,78;     3.218,58;     3.218,58;     1.469,80
10.022.026;CAMA MESA BANHO/CAMA MESA BANH;     0,00;   100,100;        0,00;     1.266,14;     2.621,96;     2.621,96;     1.355,82
Classif:10.022;CAMA MESA BANHO     ;     0,00;   100,100;        0,00;     1.266,14;     2.621,96;     2.621,96;     1.355,82
10.023.   ;CONVENIENCIA                  ;     0,00;     1,000;        0,00;        11,50;        18,99;        18,99;         7,49
10.023.027;CONVENIENCIA/ALIMENTOS        ;     0,00;    20,000;        0,00;        26,59;        54,00;        54,00;        27,41
10.023.028;CONVENIENCIA/BEBIDAS          ;     0,00;    23,000;        0,00;        52,51;        61,57;        61,57;         9,06
10.023.029;CONVENIENCIA/BOMBONIERE       ;     0,00;    95,000;        0,00;       161,63;       245,06;       245,06;        83,43
10.023.030;CONVENIENCIA/ELETRONICOS      ;     0,00;    29,000;        0,00;       174,91;       326,71;       326,71;       151,80
10.023.031;CONVENIENCIA/PRESENTES        ;     0,00;    27,000;        0,00;         7,85;       123,44;       123,44;       115,59
