Produto;Descricao;QtdEntrada;QtdSaída;VlCompras;VlCusto;Faturamento;Fatura-Compra;Fatura-Custo
          ;LOJA                          ;     0,00;    14,000;        0,00;        21,87;        87,36;        87,36;        65,49
Classif:      ;sem categoria       ;     0,00;    14,000;        0,00;        21,87;        87,36;        87,36;        65,49
10.019.014;BIJUTERIAS/ACESS FRIO         ;     0,00;    12,000;        0,00;        19,99;       119,89;       119,89;        99,90
10.019.015;BIJUTERIAS/BIJUTERIAS         ;     0,00;    63,000;        0,00;       123,56;     1.043,91;     1.043,91;       920,35
10.019.020;BIJUTERIAS/MAQUIAGEM          ;     0,00;    22,000;        0,00;        23,70;       223,28;       223,28;       199,58
10.019.021;BIJUTERIAS/PERFUMARIA         ;     0,00;     1,000;        0,00;         2,74;         5,99;         5,99;         3,25
Classif:10.019;BIJUTERIAS          ;     0,00;    98,000;        0,00;       169,99;     1.393,07;     1.393,07;     1.223,08
10.020.022;BRINQUEDOS/BRINQUEDO          ;     0,00;    64,000;        0,00;     1.181,78;     2.277,86;     2.277,86;     1.096,08
10.020.024;BRINQUEDOS/INFANTIL           ;     0,00;     1,000;        0,00;        36,26;        68,99;        68,99;        32,73
10.020.025;BRINQUEDOS/LAZER CAMPING      ;     0,00;     2,000;        0,00;        10,90;        20,98;        20,98;        10,08
Classif:10.020;BRINQUEDOS          ;     0,00;    67,000;        0,00;     1.228,94;     2.367,83;     2.367,83;     1.138,89
10.022.026;CAMA MESA BANHO/CAMA MESA BANH;     8,00;   107,900;    1.370,32;     1.120,21;     2.377,34;     1.007,02;     1.257,13
Classif:10.022;CAMA MESA BANHO     ;     8,00;   107,900;    1.370,32;     1.120,21;     2.377,34;     1.007,02;     1.257,13
10.023.   ;CONVENIENCIA                  ;     0,00;     1,000;        0,00;        11,50;        18,99;        18,99;         7,49
10.023.027;CONVENIENCIA/ALIMENTOS        ;     0,00;    14,000;        0,00;        63,13;        44,36;        44,36;       -18,77
10.023.028;CONVENIENCIA/BEBIDAS          ;     0,00;    34,000;        0,00;       147,55;        91,15;        91,15;       -56,40
10.023.029;CONVENIENCIA/BOMBONIERE       ;     0,00;   114,000;        0,00;       324,54;       357,38;       357,38;        32,84
10.023.030;CONVENIENCIA/ELETRONICOS      ;     0,00;    33,000;        0,00;       114,73;       398,28;       398,28;       283,55
10.023.031;CONVENIENCIA/PRESENTES        ;     0,00;    36,000;        0,00;        40,59;       220,68;       220,68;       180,09
Classif:10.023;CONVENIENCIA        ;     0,00;   232,000;        0,00;       702,04;     1.130,84;     1.130,84;       428,80
10.024.   ;DECORACAO                     ;     0,00;     1,000;        0,00;        12,38;        23,27;        23,27;        10,89
10.024.032;DECORACAO/BAZAR               ;     0,00;     4,000;        0,00;        98,08;       210,96;       210,96;       112,88
10.024.033;DECORACAO/DECORACAO           ;     0,00;    19,000;        0,00;       490,49;       898,86;       898,86;       408,37
10.024.034;DECORACAO/ESPELHO             ;     0,00;     5,000;        0,00;       393,46;       661,31;       661,31;       267,85
10.024.037;DECORACAO/QUADROS             ;     0,00;    25,000;        0,00;       253,82;       504,77;       504,77;       250,95
Classif:10.024;DECORACAO           ;     0,00;    54,000;        0,00;     1.248,23;     2.299,17;     2.299,17;     1.050,94
10.026.040;DIVERSOS/DIVERSOS             ;     0,00;     3,000;        0,00;        40,56;        66,97;        66,97;        26,41
Classif:10.026;DIVERSOS            ;     0,00;     3,000;        0,00;        40,56;        66,97;        66,97;        26,41
10.033.049;LEDS/CORTE DE TOALHA          ;     0,00;     2,500;        0,00;        23,83;        37,97;        37,97;        14,14
10.033.050;LEDS/FERRAMENTA               ;     0,00;    17,000;        0,00;       281,94;       537,33;       537,33;       255,39
10.033.051;LEDS/ILUMINACAO               ;     0,00;    10,000;        0,00;       131,68;       255,87;       255,87;       124,19
10.033.052;LEDS/LED                      ;     0,00;    28,000;        0,00;       469,69;       896,52;       896,52;       426,83
Classif:10.033;LEDS                ;     0,00;    57,500;        0,00;       907,14;     1.727,69;     1.727,69;       820,55
10.040.055;PAPELARIA/ARMARINHOS          ;     0,00;     4,000;        0,00;         0,00;         2,40;         2,40;         2,40
10.040.057;PAPELARIA/PAPELARIA           ;     0,00;   261,000;        0,00;       962,80;     1.921,27;     1.921,27;       958,47
Classif:10.040;PAPELARIA           ;     0,00;   265,000;        0,00;       962,80;     1.923,67;     1.923,67;       960,87
10.044.060;QUIOSQUE/SORVETE              ;     0,00;    68,000;        0,00;         0,00;       364,00;       364,00;       364,00
Classif:10.044;QUIOSQUE            ;     0,00;    68,000;        0,00;         0,00;       364,00;       364,00;       364,00
10.049.062;UTENSILIOS/COZINHA            ;     0,00;    49,000;        0,00;       736,80;     1.392,93;     1.392,93;       656,13
10.049.063;UTENSILIOS/UTENSILIOS         ;     0,00;    96,000;        0,00;       915,37;     1.713,58;     1.713,58;       798,21
Classif:10.049;UTENSILIOS          ;     0,00;   145,000;        0,00;     1.652,17;     3.106,51;     3.106,51;     1.454,34
10.050.   ;UTILIDADES                    ;     0,00;     1,000;        0,00;         8,10;        14,99;        14,99;         6,89
10.050.064;UTILIDADES/ACESSORIO DE BANHEI;     0,00;    32,000;        0,00;       284,84;       542,68;       542,68;       257,84
10.050.065;UTILIDADES/ELETRO DOMESTICO   ;     0,00;     1,000;        0,00;       145,43;       254,68;       254,68;       109,25
10.050.066;UTILIDADES/FILTROS            ;     0,00;     1,000;        0,00;        35,50;        61,99;        61,99;        26,49
10.050.067;UTILIDADES/LIXEIRA            ;     0,00;     6,000;        0,00;       129,54;       263,94;       263,94;       134,40
10.050.068;UTILIDADES/UTILIDADES         ;     0,00;   212,000;        0,00;     1.758,54;     3.134,55;     3.134,55;     1.376,01
Classif:10.050;UTILIDADES          ;     0,00;   253,000;        0,00;     2.361,95;     4.272,83;     4.272,83;     1.910,88
10.051.   ;VARIEDADES                    ;     0,00;     2,000;        0,00;        33,69;        70,90;        70,90;        37,21
10.051.069;VARIEDADES/CESTO E BALDE
    ;     0,00;     9,000;        0,00;       168,57;       312,59;       312,59;       144,02
10.051.070;VARIEDADES/VIDROS             ;     0,00;   107,000;        0,00;     1.130,78;     2.127,10;     2.127,10;       996,32
Classif:10.051;VARIEDADES          ;     0,00;   118,000;        0,00;     1.333,04;     2.510,59;     2.510,59;     1.177,55
10.053.001;PET/PET                       ;     0,00;     6,000;        0,00;        28,52;        54,94;        54,94;        26,42
Classif:10.053;PET                 ;     0,00;     6,000;        0,00;        28,52;        54,94;        54,94;        26,42
